Mes,Precio
abr. 2014,"431.193,30"
may. 2014,"415.895,30"
jun. 2014,"382.531,50"
jul. 2014,"338.728,10"
ago. 2014,"334.927,90"
sep. 2014,"321.843,40"
oct. 2014,"334.289,80"
nov. 2014,"379.228,40"
dic. 2014,"418.158,20"
ene. 2015,"419.084,40"
feb. 2015,"421.272,90"
mar. 2015,"450.659,60"
abr. 2015,"429.327,40"
may. 2015,"405.055,30"
jun. 2015,"426.122,60"
jul. 2015,"491.538,30"
ago. 2015,"491.836,80"
sep. 2015,"509.564,30"
oct. 2015,"503.766,50"
nov. 2015,"494.314,30"
dic. 2015,"533.010,60"
ene. 2016,"528.610,50"
feb. 2016,"535.708,40"
mar. 2016,"502.273,80"
abr. 2016,"493.018,40"
may. 2016,"504.646,50"
jun. 2016,"538.793,00"
